Timestamp,ActivityID,ActivityState,ObjectState,ActivityLabel,object
1970-01-01 02:14:00.000000,d08b4f54-2707-4766-ba1f-4bc427d8f96b,STOP,"{'container level': 27, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:16:00.000000,0df6a8f1-95e6-4a6a-9be8-1432a680cfab,START,"{'container level': 27, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:20:00.000000,0df6a8f1-95e6-4a6a-9be8-1432a680cfab,STOP,"{'container level': 26, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:22:00.000000,bf56a2ed-2f74-4351-a3c6-0851c4029ad1,START,"{'container level': 26, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:26:00.000000,bf56a2ed-2f74-4351-a3c6-0851c4029ad1,STOP,"{'container level': 25, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:28:00.000000,89a61fda-7459-407b-9057-c034036dc541,START,"{'container level': 25, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:32:00.000000,89a61fda-7459-407b-9057-c034036dc541,STOP,"{'container level': 24, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:34:00.000000,24cd3be1-216c-420e-b662-12a8f7584087,START,"{'container level': 24, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:38:00.000000,24cd3be1-216c-420e-b662-12a8f7584087,STOP,"{'container level': 23, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:40:00.000000,266ab7ca-80ae-45f1-8a3f-e81c19a955b9,START,"{'container level': 23, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:44:00.000000,266ab7ca-80ae-45f1-8a3f-e81c19a955b9,STOP,"{'container level': 22, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:46:00.000000,2b38e039-3835-461b-97cf-9383b70b5ff6,START,"{'container level': 22, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:50:00.000000,2b38e039-3835-461b-97cf-9383b70b5ff6,STOP,"{'container level': 21, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:52:00.000000,a68e0926-5489-430c-bd0e-c8ab50bdeba5,START,"{'container level': 21, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:56:00.000000,a68e0926-5489-430c-bd0e-c8ab50bdeba5,STOP,"{'container level': 20, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:58:00.000000,f4354939-66d8-4c06-ab41-1a9ade0fb7f6,START,"{'container level': 20, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:02:00.000000,f4354939-66d8-4c06-ab41-1a9ade0fb7f6,STOP,"{'container level': 19, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:04:00.000000,86ffba4d-893b-42fc-8997-35d686682d94,START,"{'container level': 19, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:08:00.000000,86ffba4d-893b-42fc-8997-35d686682d94,STOP,"{'container level': 18, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:10:00.000000,df415b60-7054-4d6b-96f2-5c31a1a5ae99,START,"{'container level': 18, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:14:00.000000,df415b60-7054-4d6b-96f2-5c31a1a5ae99,STOP,"{'container level': 17, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:16:00.000000,2854822a-8dc9-47d1-a5c3-9c0e6b39c0b4,START,"{'container level': 17, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:20:00.000000,2854822a-8dc9-47d1-a5c3-9c0e6b39c0b4,STOP,"{'container level': 16, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:22:00.000000,0bcdfb85-c720-4eee-9f80-45c6cc8e62f9,START,"{'container level': 16, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:26:00.000000,0bcdfb85-c720-4eee-9f80-45c6cc8e62f9,STOP,"{'container level': 15, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:28:00.000000,75ec6b3f-1d58-4dce-8bf2-de4c728dc6e1,START,"{'container level': 15, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:32:00.000000,75ec6b3f-1d58-4dce-8bf2-de4c728dc6e1,STOP,"{'container level': 14, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:34:00.000000,788fcce1-6ac3-43b8-bff5-3e3f2a9411f4,START,"{'container level': 14, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:38:00.000000,788fcce1-6ac3-43b8-bff5-3e3f2a9411f4,STOP,"{'container level': 13, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:40:00.000000,d016d3c7-b994-41da-baad-a993f3a0195c,START,"{'container level': 13, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
