teu_id,pm_name,qc_discharge_wait_start,qc_discharge_wait_stop,qc_discharge_start,qc_discharge_stop,pm_load_wait_start,pm_load_wait_stop,pm_load_start,pm_load_stop,pm_travel_to_yard_wait_start,pm_travel_to_yard_wait_stop,pm_travel_to_yard_start,pm_travel_to_yard_stop,pm_unload_wait_start,pm_unload_wait_stop,pm_unload_start,pm_unload_stop,pm_return_wait_start,pm_return_wait_stop,pm_return_start,pm_return_stop
35,pm_05,,,01-01-70 03:22,01-01-70 03:26,01-01-70,01-01-70 03:26,01-01-70 03:32,01-01-70 03:34,,,01-01-70 03:34,34:11.0,,,34:11.0,36:11.0,,,36:11.0,36:22.0
36,pm_06,,,01-01-70 03:28,01-01-70 03:32,01-01-70,01-01-70 03:32,01-01-70 03:38,01-01-70 03:40,,,01-01-70 03:40,40:11.0,,,40:11.0,42:11.0,,,42:11.0,42:22.0
37,pm_07,,,01-01-70 03:34,01-01-70 03:38,01-01-70,01-01-70 03:38,01-01-70 03:44,01-01-70 03:46,,,01-01-70 03:46,46:11.0,,,46:11.0,48:11.0,,,48:11.0,48:22.0
38,pm_08,,,01-01-70 03:40,01-01-70 03:44,01-01-70,01-01-70 03:44,01-01-70 03:50,01-01-70 03:52,,,01-01-70 03:52,52:11.0,,,52:11.0,54:11.0,,,54:11.0,54:22.0
39,pm_09,,,01-01-70 03:46,01-01-70 03:50,01-01-70,01-01-70 03:50,01-01-70 03:56,01-01-70 03:58,,,01-01-70 03:58,58:11.0,,,58:11.0,00:11.0,,,00:11.0,00:22.0
40,pm_10,,,01-01-70 03:52,01-01-70 03:56,01-01-70,01-01-70 03:56,01-01-70 04:02,01-01-70 04:04,,,01-01-70 04:04,04:11.0,,,04:11.0,06:11.0,,,06:11.0,06:22.0
41,pm_01,,,01-01-70 03:58,01-01-70 04:02,01-01-70,01-01-70 04:02,01-01-70 04:08,01-01-70 04:10,,,01-01-70 04:10,10:11.0,,,10:11.0,12:11.0,,,12:11.0,12:22.0
42,pm_02,,,01-01-70 04:04,01-01-70 04:08,01-01-70,01-01-70 04:08,01-01-70 04:14,01-01-70 04:16,,,01-01-70 04:16,16:11.0,,,16:11.0,18:11.0,,,18:11.0,18:22.0
43,pm_03,,,01-01-70 04:10,01-01-70 04:14,01-01-70,01-01-70 04:14,01-01-70 04:20,01-01-70 04:22,,,01-01-70 04:22,22:11.0,,,22:11.0,24:11.0,,,24:11.0,24:22.0
44,pm_04,,,01-01-70 04:16,01-01-70 04:20,01-01-70,01-01-70 04:20,01-01-70 04:26,01-01-70 04:28,,,01-01-70 04:28,28:11.0,,,28:11.0,30:11.0,,,30:11.0,30:22.0
45,pm_05,,,01-01-70 04:22,01-01-70 04:26,01-01-70,01-01-70 04:26,01-01-70 04:32,01-01-70 04:34,,,01-01-70 04:34,34:11.0,,,34:11.0,36:11.0,,,36:11.0,36:22.0
46,pm_06,,,01-01-70 04:28,01-01-70 04:32,01-01-70,01-01-70 04:32,01-01-70 04:38,01-01-70 04:40,,,01-01-70 04:40,40:11.0,,,40:11.0,42:11.0,,,42:11.0,42:22.0
47,pm_07,,,01-01-70 04:34,01-01-70 04:38,01-01-70,01-01-70 04:38,01-01-70 04:44,01-01-70 04:46,,,01-01-70 04:46,46:11.0,,,46:11.0,48:11.0,,,48:11.0,48:22.0
48,pm_08,,,01-01-70 04:40,01-01-70 04:44,01-01-70,01-01-70 04:44,01-01-70 04:50,01-01-70 04:52,,,01-01-70 04:52,52:11.0,,,52:11.0,54:11.0,,,54:11.0,54:22.0
49,pm_09,,,01-01-70 04:46,01-01-70 04:50,01-01-70,01-01-70 04:50,01-01-70 04:56,01-01-70 04:58,,,01-01-70 04:58,58:11.0,,,58:11.0,00:11.0,,,00:11.0,00:22.0
50,pm_10,,,01-01-70 04:52,01-01-70 04:56,01-01-70,01-01-70 04:56,01-01-70 04:58,01-01-70 05:00,,,01-01-70 05:00,00:11.0,,,00:11.0,02:11.0,,,02:11.0,02:22.0
