Timestamp,ActivityID,ActivityState,ObjectState,ActivityLabel,object
1970-01-01 03:32:00.000000,4180131d-9b57-4180-8645-411589358edf,STOP,"{'container level': 14, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:34:00.000000,202d3ad1-c218-43d6-b060-74b4013546ab,START,"{'container level': 14, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:38:00.000000,202d3ad1-c218-43d6-b060-74b4013546ab,STOP,"{'container level': 13, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:40:00.000000,adfffc95-fe54-498a-b94a-e1ddb9eaa9de,START,"{'container level': 13, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:44:00.000000,adfffc95-fe54-498a-b94a-e1ddb9eaa9de,STOP,"{'container level': 12, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:46:00.000000,2c0fd0c2-692c-42db-9a6a-dc675b8abd38,START,"{'container level': 12, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:50:00.000000,2c0fd0c2-692c-42db-9a6a-dc675b8abd38,STOP,"{'container level': 11, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:52:00.000000,96bc74c6-6107-4543-911b-6cb6b92f17f0,START,"{'container level': 11, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:56:00.000000,96bc74c6-6107-4543-911b-6cb6b92f17f0,STOP,"{'container level': 10, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:58:00.000000,ce09d1d1-2521-406e-83e0-05c7c56539f6,START,"{'container level': 10, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:02:00.000000,ce09d1d1-2521-406e-83e0-05c7c56539f6,STOP,"{'container level': 9, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:04:00.000000,4c7eccd7-8a79-4f70-9839-9dda8e20b98e,START,"{'container level': 9, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:08:00.000000,4c7eccd7-8a79-4f70-9839-9dda8e20b98e,STOP,"{'container level': 8, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:10:00.000000,f7870546-cd39-441e-a863-9a11d20e626e,START,"{'container level': 8, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:14:00.000000,f7870546-cd39-441e-a863-9a11d20e626e,STOP,"{'container level': 7, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:16:00.000000,8607ac3d-764f-474f-b177-04dd8801e63f,START,"{'container level': 7, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:20:00.000000,8607ac3d-764f-474f-b177-04dd8801e63f,STOP,"{'container level': 6, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:22:00.000000,975d99ac-c55a-40f8-a718-6342e901d46f,START,"{'container level': 6, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:26:00.000000,975d99ac-c55a-40f8-a718-6342e901d46f,STOP,"{'container level': 5, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:28:00.000000,e59d4784-4c41-498d-b92b-89ae20bd5072,START,"{'container level': 5, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:32:00.000000,e59d4784-4c41-498d-b92b-89ae20bd5072,STOP,"{'container level': 4, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:34:00.000000,6623f7eb-7533-42c3-8233-ae6aa70f62cb,START,"{'container level': 4, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:38:00.000000,6623f7eb-7533-42c3-8233-ae6aa70f62cb,STOP,"{'container level': 3, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:40:00.000000,5db044b6-7ec4-443a-a158-1924736f95ef,START,"{'container level': 3, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:44:00.000000,5db044b6-7ec4-443a-a158-1924736f95ef,STOP,"{'container level': 2, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:46:00.000000,dbbe5afd-6b93-45c0-9031-95de4a531f63,START,"{'container level': 2, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:50:00.000000,dbbe5afd-6b93-45c0-9031-95de4a531f63,STOP,"{'container level': 1, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:52:00.000000,f1a87886-c89e-4b74-a06c-1c3984c0a147,START,"{'container level': 1, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 04:56:00.000000,f1a87886-c89e-4b74-a06c-1c3984c0a147,STOP,"{'container level': 0, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:00:00.000000,2f93b299-9106-4428-a567-ad533858a663,START,"{'container level': 0, 'geometry': <POINT (24.311 56.363)>}",{},Quay Site
1970-01-01 00:04:00.000000,2f93b299-9106-4428-a567-ad533858a663,STOP,"{'container level': 1, 'geometry': <POINT (24.311 56.363)>}",{},Quay Site
1970-01-01 00:04:00.000000,76f0a2a5-e26c-405b-873b-f1714c6fc15b,START,"{'container level': 1, 'geometry': <POINT (24.311 56.363)>}",{},Quay Site
1970-01-01 00:08:00.000000,76f0a2a5-e26c-405b-873b-f1714c6fc15b,STOP,"{'container level': 2, 'geometry': <POINT (24.311 56.363)>}",{},Quay Site
